Town,median_rent,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
HOUGANG,1962.5,1.3713312,103.8925439,1,Food Courts,Fast Food Restaurants,Coffee Shops,Chinese Restaurants,Asian Restaurants,Dessert Shops,Frozen Yogurt Shops,Pizza Places,Bubble Tea Shops,Sandwich Places
JURONG EAST,2150.0,1.3331427,103.7423293,3,Food Courts,Japanese Restaurants,Chinese Restaurants,Fast Food Restaurants,Cafés,Coffee Shops,Ramen Restaurants,Dim Sum Restaurants,Chinese Breakfast Places,Diners
JURONG WEST,1975.0,1.3385559,103.7058277,3,Fast Food Restaurants,Chinese Restaurants,Japanese Restaurants,Asian Restaurants,Food Courts,Cafés,Wings Joints,Japanese Curry Restaurants,Indonesian Restaurants,Pizza Places
KALLANG/WHAMPOA,2300.0,1.3114784,103.8713507,0,Food Courts,Chinese Restaurants,BBQ Joints,Noodle Houses,Snack Places,Thai Restaurants,Soup Places,Seafood Restaurants,Indian Restaurants,Diners
MARINE PARADE,1950.0,1.30841,103.888814,0,Noodle Houses,Chinese Restaurants,Asian Restaurants,Seafood Restaurants,Snack Places,Dessert Shops,Dim Sum Restaurants,Coffee Shops,Food Courts,Bars
PASIR RIS,2066.6666666666665,1.3731912,103.9493534,1,Food Courts,Fast Food Restaurants,Coffee Shops,Italian Restaurants,Asian Restaurants,Bakeries,Sushi Restaurants,Hong Kong Restaurants,Seafood Restaurants,Sandwich Places
PUNGGOL,1825.0,1.40517,103.9023559,1,Food Courts,Seafood Restaurants,Cafés,Fast Food Restaurants,Chinese Restaurants,Cantonese Restaurants,Ice Cream Shops,Burger Joints,Ramen Restaurants,Comfort Food Restaurants
QUEENSTOWN,2162.5,1.2948352,103.8059016,4,Chinese Restaurants,Food Courts,Malay Restaurants,Thai Restaurants,Italian Restaurants,Wings Joints,Dongbei Restaurants,Comfort Food Restaurants,Dessert Shops,Dim Sum Restaurants
SEMBAWANG,1883.3333333333333,1.4490801,103.8200578,1,Food Courts,Coffee Shops,Asian Restaurants,Fast Food Restaurants,Chinese Restaurants,Sushi Restaurants,Bistros,Japanese Restaurants,Cafés,Italian Restaurants
SENGKANG,1900.0,1.3916609,103.8954533,3,Coffee Shops,Cafés,Food Courts,Fast Food Restaurants,Sandwich Places,Sushi Restaurants,English Restaurants,Chinese Restaurants,Restaurants,Comfort Food Restaurants
SERANGOON,2187.5,1.3497872,103.8736348,3,Fast Food Restaurants,Japanese Restaurants,Coffee Shops,Food Courts,Steakhouses,Indian Restaurants,Chinese Restaurants,Cafés,Sushi Restaurants,Thai Restaurants
TAMPINES,2075.0,1.3544303,103.94276,1,Food Courts,Coffee Shops,Fast Food Restaurants,Japanese Restaurants,Italian Restaurants,American Restaurants,Fried Chicken Joints,Pizza Places,Portuguese Restaurants,Seafood Restaurants
TOA PAYOH,2210.0,1.3323297,103.8474252,3,Coffee Shops,Chinese Restaurants,Food Courts,Fast Food Restaurants,Cafés,Snack Places,Sandwich Places,Dessert Shops,Italian Restaurants,Burger Joints
WOODLANDS,1762.5,1.4369451,103.7865159,3,Food Courts,Japanese Restaurants,Coffee Shops,Cafés,Chinese Restaurants,Fast Food Restaurants,American Restaurants,Indian Restaurants,Sandwich Places,Burger Joints
YISHUN,1900.0,1.4295484,103.8350332,1,Food Courts,Hainan Restaurants,Bubble Tea Shops,Halal Restaurants,Hong Kong Restaurants,Fish & Chips Shops,Fast Food Restaurants,Coffee Shops,Chinese Restaurants,Noodle Houses
